step,timestamp,gene_dnaA,gene_rpoB,gene_gyrA,gene_ftsZ,gene_groEL,gene_atpD,gene_tufA,protein_DnaA,protein_RpoB,protein_GyrA,protein_FtsZ,protein_GroEL,protein_AtpD,protein_TufA,metabolite_glucose,metabolite_atp,metabolite_adp,metabolite_nadh,metabolite_amino_acids,pathway_glycolysis,pathway_translation,pathway_replication
34,17.0,5.7517679057197935,4.8713101490496555,3.7260013163937007,3.7260013163937007,3.1664057424112517,4.222873519303243,4.8713101490496555,2.1376811065886065,1.7193053625558092,1.24020756091702,1.24020756091702,1.0270444944931982,1.440313654984568,1.7193053625558092,2.691285498274461,1.84564274913723,1.0,0.7885893127156927,1.4228213745686147,4.675390789153909,3.4858198935066764,3.4663112135952723
35,17.5,5.873942130799442,4.996227343660967,3.8428859531645476,3.8428859531645476,3.2745954029039397,4.344853891468242,4.996227343660967,2.1776456045291623,1.758245778019543,1.2742693317002827,1.2742693317002827,1.0575571548411369,1.4769193195220458,1.758245778019543,2.6490033608175994,1.8245016804087992,1.0,0.7938745798978003,1.4122508402043994,4.682926073762895,3.506718371143624,3.4893182178442226
36,18.0,5.995123256559511,5.121227272496288,3.961191388577628,3.961191388577628,3.3847102977855386,4.46770780935062,5.121227272496288,2.218641405716692,1.7983641709309732,1.3095856498297092,1.3095856498297092,1.0892970545437186,1.514766048779709,1.7983641709309732,2.6077782767971596,1.8038891383985793,1.0,0.7990277154003553,1.4019445691992893,4.690357621540374,3.527903403250633,3.5126231056165618
37,18.5,6.115171905080783,5.246153792238304,4.080795771921802,4.080795771921802,3.496664493675138,4.591291134469489,5.246153792238304,2.260588633057877,1.839599807190382,1.3461262616362688,1.3461262616362688,1.122248814158411,1.5538100247024609,1.839599807190382,2.5675838198772305,1.7837919099386148,1.0,0.8040520225153465,1.391895954969307,4.6976678139981916,3.5493439078044093,3.5361888107578503
38,19.0,6.233953863191376,5.370850833791137,4.201571089857218,4.201571089857218,3.610364405452253,4.715455919785673,5.370850833791137,2.3034080479847674,1.8818910876756414,1.3838592258008857,1.3838592258008857,1.156395483586797,1.5940059214619797,1.8818910876756414,2.5283942243802997,1.7641971121901494,1.0,0.8089507219524628,1.3820985560950745,4.7048416456723565,3.571010341854886,3.5599796163570736
39,19.5,6.351340652508951,5.49516318208652,4.3233836462344595,4.3233836462344595,3.7257089700240824,4.840051093117748,5.49516318208652,2.347021161898253,1.9251756128440223,1.422750855666703,1.422750855666703,1.191718433658059,1.6353069027168243,1.9251756128440223,2.4901843687707923,1.7450921843853957,1.0,0.8137269539036512,1.3725460921926975,4.711866529651215,3.592874589753077,3.583961117594389
40,20.0,6.467210044713335,5.61893724920205,4.446094597783545,4.446094597783545,3.842589881878697,4.964923174853684,5.61893724920205,2.3913503549211734,1.9693902634318725,1.4627656778279565,1.4627656778279565,1.2281972590221235,1.6776646369523252,1.9693902634318725,2.4529297595515227,1.726464879775761,1.0,0.8183837800560599,1.3632324398878801,4.718732099628637,3.6149098467815954,3.6081001777249155
41,20.5,6.581446518136796,5.742021832609801,4.569560541810522,4.569560541810522,3.960891890971049,5.0899170229353725,5.742021832609801,2.4363190001285346,2.014471296075524,1.5038664074818218,1.5038664074818218,1.2658096933452936,1.7210293306780933,2.014471296075524,2.4166065155627345,1.7083032577813668,1.0,0.8229241855546584,1.3541516288906832,4.725430012808297,3.6370905027296296,3.632364880851622
42,21.0,6.693941652688161,5.864268850609453,4.69363415117469,4.69363415117469,4.080493162659801,5.214876597580305,5.864268850609453,2.481851591439312,2.060354452536984,1.5460139408870979,1.5460139408870979,1.304531537744524,1.7653497790836963,2.060354452536984,2.381191352673666,1.6905956763368326,1.0,0.8273510809157919,1.3452978381684162,4.7319537570880605,3.6593920290884507,3.6567244844147013
43,21.5,6.804594461074601,5.985534047378784,4.818164851008058,4.818164851008058,4.201265698540224,5.3396457378193665,5.985534047378784,2.5278738733942117,2.1069750810946046,1.5891673651179445,1.5891673651179445,1.3443366033208033,1.8105734335749957,2.1069750810946046,2.3466615688568244,1.6733307844284118,1.0,0.8316673038928971,1.3366653922142058,4.738298465155344,3.6817908727395805,3.681149373652131
