step,timestamp,gene_MCM2,gene_MCM5,gene_PCNA,gene_DNA_POL_ALPHA,gene_CDC45,gene_CCND1,gene_CDK2,gene_RB1,gene_TP53,gene_ATM,gene_ATR,gene_CHEK1,gene_STAT1,gene_IRF7,gene_IFNB1,gene_BAX,gene_BCL2,gene_HSPA1A,gene_FKBP1A,gene_MTOR,gene_viral_LT,gene_viral_ST,gene_viral_VP1,gene_viral_VP2,gene_viral_VP3,protein_MCM2,protein_PCNA,protein_RB1,protein_p53,protein_STAT1,protein_mTOR,protein_LT,protein_ST,protein_VP1,metabolite_atp,metabolite_dATP,metabolite_dCTP,metabolite_dGTP,metabolite_dTTP,metabolite_amino_acids,pathway_dna_replication,pathway_cell_cycle,pathway_dna_damage_response,pathway_innate_immune,pathway_apoptosis,pathway_mTOR_signaling,pathway_viral_replication,pathway_cellular_stress,pathway_interferon_response,pathway_nucleotide_synthesis
30,30.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,12.891107583177368,12.817137545838541,12.817137545838541,12.743167508499713,18.915423512440434,18.806326648563946,18.697229784687458,0.8235048405636761,0.8974748779025041,0.7,1.0,1.0,24.141853943382,3.326672610298085,3.326672610298085,3.326672610298085,3.326672610298085,1.0,1.2,1.2,12.891107583177368,18.915423512440434,1.0,24.141853943382,3.326672610298085,3.326672610298085,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,9.502381048946576,0.3,0.4,0.7
31,31.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,14.902334864737707,14.829104527772268,14.829104527772268,14.755874190806828,21.961336414019005,21.854421487420048,21.747506560821087,0.8357610982587368,0.9089914352241765,0.7,1.0,1.0,27.348846811506142,3.863480084084026,3.863480084084026,3.863480084084026,3.863480084084026,1.0,1.2,1.2,14.902334864737707,21.961336414019005,1.0,27.348846811506142,3.863480084084026,3.863480084084026,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,10.736149475718822,0.3,0.4,0.7
32,32.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,17.194482677452225,17.12198464385644,17.12198464385644,17.049486610260654,25.427983543917655,25.323206915850676,25.218430287783693,0.8479456627667771,0.9204436963625624,0.7,1.0,1.0,30.945685772305758,4.469434363733026,4.469434363733026,4.469434363733026,4.469434363733026,1.0,1.2,1.2,17.194482677452225,25.427983543917655,1.0,30.945685772305758,4.469434363733026,4.469434363733026,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,12.11908559298,0.3,0.4,0.7
33,33.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,19.802104396344376,19.73033134308455,19.73033134308455,19.65855828982472,29.36673034610598,29.26404925060034,29.1613681550947,0.8600541640806741,0.9318272173405017,0.7,1.0,1.0,34.97972217130934,5.1529021855060355,5.1529021855060355,5.1529021855060355,5.1529021855060355,1.0,1.2,1.2,19.802104396344376,29.36673034610598,1.0,34.97972217130934,5.1529021855060355,5.1529021855060355,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,13.669356435460195,0.3,0.4,0.7
34,34.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,22.763940151329333,22.692884828602107,22.692884828602107,22.621829505874874,33.8351666175013,33.73453914390578,33.63391167031025,0.8720827845872758,0.9431381073145051,0.7,1.0,1.0,39.504060958141,5.923268755206754,5.923268755206754,5.923268755206754,5.923268755206754,1.0,1.2,1.2,22.763940151329333,33.8351666175013,1.0,39.504060958141,5.923268755206754,5.923268755206754,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,15.407331394014363,0.3,0.4,0.7
35,35.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,26.12342598135788,26.05308121185793,26.05308121185793,25.982736442357968,38.897863655618224,38.79924873149461,38.70063380737099,0.8840282026740707,0.9543729721740276,0.7,1.0,1.0,44.578259565166036,6.791061266417694,6.791061266417694,6.791061266417694,6.791061266417694,1.0,1.2,1.2,26.12342598135788,38.897863655618224,1.0,44.578259565166036,6.791061266417694,6.791061266417694,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,17.35585022421879,0.3,0.4,0.7
36,36.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,29.929264795553134,29.859623473748183,29.859623473748183,29.78998215194322,44.627223300919994,44.53058067527885,44.4339380496377,0.8958875419867308,0.9655288637916881,0.7,1.0,1.0,50.26911170024729,7.76808744498234,7.76808744498234,7.76808744498234,7.76808744498234,1.0,1.2,1.2,29.929264795553134,44.627223300919994,1.0,50.26911170024729,7.76808744498234,7.76808744498234,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,19.54052357129293,0.3,0.4,0.7
37,37.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,34.23606665467647,34.16712174608957,34.16712174608957,34.098176837502656,51.10443004622778,51.00972027309946,50.91501049997114,0.9076583257723242,0.9766032343592319,0.7,1.0,1.0,56.651526368547216,8.867590943257547,8.867590943257547,8.867590943257547,8.867590943257547,1.0,1.2,1.2,34.23606665467647,51.10443004622778,1.0,56.651526368547216,8.867590943257547,8.867590943257547,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,21.990069965504112,0.3,0.4,0.7
38,38.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,39.105066798579784,39.03681133907875,39.03681133907875,38.96855587957771,58.420518742023354,58.3277031643576,58.23488758669184,0.9193384357995156,0.9875938953005542,0.7,1.0,1.0,63.809513691515825,10.104425629371434,10.104425629371434,10.104425629371434,10.104425629371434,1.0,1.2,1.2,39.105066798579784,58.420518742023354,1.0,63.809513691515825,10.104425629371434,10.104425629371434,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,24.736693722277764,0.3,0.4,0.7
39,39.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,44.60493086849712,44.537357963591106,44.537357963591106,44.46978505868507,66.67757194782791,66.58661268171547,66.49565341560303,0.9309260753979436,0.9984989803039719,0.7,1.0,1.0,71.83729049664933,11.495251065353361,11.495251065353361,11.495251065353361,11.495251065353361,1.0,1.2,1.2,44.60493086849712,66.67757194782791,1.0,71.83729049664933,11.495251065353361,11.495251065353361,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,27.816508719638534,0.3,0.4,0.7
